date,code,name,product,median,avg,low,high,count
2026-04-22,FB01,Awakened Pulse,Booster Box,510.0,517.99,475.0,600.0,11
2026-04-22,FB02,Blazing Aura,Booster Box,285.0,312.16,275.0,449.95,6
2026-04-22,FB03,Raging Roar,Booster Box,284.95,292.21,249.0,349.95,4
2026-04-22,FB04,Ultra Limit,Booster Box,205.0,220.49,170.0,319.95,14
2026-04-22,FB05,New Adventure,Booster Box,280.0,282.71,159.0,389.95,7
2026-04-22,FB06,Rivals Clash,Booster Box,844.98,853.24,743.0,980.0,4
2026-04-22,FB07,Wish For Shenron,Booster Box,527.0,526.0,515.0,535.0,4
2026-04-22,FB08,Saiyan's Pride,Booster Box,370.0,402.67,369.0,469.0,3
2026-04-22,FB09,Dual Evolution,Booster Box,599.5,460.0,130.0,650.0,6
2026-04-22,SB01,Manga Booster 01,Booster Box,1489.91,1540.98,1150.0,2000.0,8
2026-04-22,SB02,Manga Booster 02,Booster Box,869.95,927.56,750.0,1299.0,7
