date,code,name,product,median,avg,low,high,count
2026-04-22,FB01,Awakened Pulse,Booster Box,450.0,439.73,219.9,600.0,25
2026-04-22,FB02,Blazing Aura,Booster Box,250.0,242.39,130.0,299.0,19
2026-04-22,FB03,Raging Roar,Booster Box,205.0,213.85,180.0,259.0,21
2026-04-22,FB04,Ultra Limit,Booster Box,180.0,189.86,143.0,250.0,25
2026-04-22,FB05,New Adventure,Booster Box,310.0,265.69,89.95,325.0,17
2026-04-22,FB06,Rivals Clash,Booster Box,599.5,521.81,195.0,889.95,16
2026-04-22,FB07,Wish For Shenron,Booster Box,400.0,415.66,325.0,500.0,12
2026-04-22,FB08,Saiyan's Pride,Booster Box,330.0,310.78,169.95,370.0,14
2026-04-22,FB09,Dual Evolution,Booster Box,429.07,432.92,349.0,500.0,44
2026-04-22,SB01,Manga Booster 01,Booster Box,1050.0,1002.54,516.35,1200.0,39
2026-04-22,SB02,Manga Booster 02,Booster Box,499.99,500.42,250.0,770.0,51
2026-04-24,FB01,Awakened Pulse,Booster Box,450.0,465.2,300.0,600.0,25
2026-04-24,FB02,Blazing Aura,Booster Box,250.0,242.39,130.0,299.0,19
2026-04-24,FB03,Raging Roar,Booster Box,205.0,213.85,180.0,259.0,21
2026-04-24,FB04,Ultra Limit,Booster Box,180.0,189.09,143.0,250.0,26
2026-04-24,FB05,New Adventure,Booster Box,309.5,269.27,89.95,325.0,18
2026-04-24,FB06,Rivals Clash,Booster Box,599.5,521.81,195.0,889.95,16
2026-04-24,FB07,Wish For Shenron,Booster Box,400.0,415.66,325.0,500.0,12
2026-04-24,FB08,Saiyan's Pride,Booster Box,330.0,309.3,169.95,370.0,13
2026-04-24,FB09,Dual Evolution,Booster Box,429.5,436.12,349.0,500.0,44
2026-04-24,SB01,Manga Booster 01,Booster Box,1050.0,1027.11,650.0,1200.0,37
2026-04-24,SB02,Manga Booster 02,Booster Box,499.99,500.42,250.0,770.0,51
2026-04-29,FB01,Awakened Pulse,Booster Box,469.99,468.16,300.0,600.0,25
2026-04-29,FB02,Blazing Aura,Booster Box,255.0,253.63,200.0,299.0,18
2026-04-29,FB03,Raging Roar,Booster Box,209.99,216.77,180.0,259.0,23
2026-04-29,FB04,Ultra Limit,Booster Box,180.0,182.55,143.0,245.0,26
2026-04-29,FB05,New Adventure,Booster Box,310.0,287.06,150.0,325.0,17
2026-04-29,FB06,Rivals Clash,Booster Box,600.0,541.8,195.0,889.95,15
2026-04-29,FB07,Wish For Shenron,Booster Box,400.0,415.66,325.0,500.0,12
2026-04-29,FB08,Saiyan's Pride,Booster Box,330.0,310.78,169.95,370.0,14
2026-04-29,FB09,Dual Evolution,Booster Box,425.87,432.2,349.0,500.0,45
2026-04-29,SB01,Manga Booster 01,Booster Box,1099.99,1064.24,840.0,1250.0,37
2026-04-29,SB02,Manga Booster 02,Booster Box,499.99,510.03,259.95,770.0,47
