date,code,name,product,median,avg,low,high,count
2026-04-05,OP-01,Romance Dawn,Booster Box,2895.0,2971.12,2250.0,4000.0,16
2026-04-05,OP-02,Paramount War,Booster Box,1024.99,1057.74,790.0,1500.0,12
2026-04-05,OP-03,Pillars of Strength,Booster Box,1199.99,1199.28,900.0,1449.95,7
2026-04-05,OP-04,Kingdoms of Intrigue,Booster Box,1099.95,1115.38,948.0,1229.95,5
2026-04-05,OP-05,Awakening of the New Era,Booster Box,1650.0,1658.06,1479.0,1888.0,15
2026-04-05,OP-06,Wings of the Captain,Booster Box,625.0,661.11,599.0,799.95,8
2026-04-05,OP-07,500 Years in the Future,Booster Box,595.95,565.71,430.0,699.95,11
2026-04-05,OP-08,Two Legends,Booster Box,420.6,388.55,159.67,550.0,7
2026-04-05,OP-09,Emperors in the New World,Booster Box,974.5,998.26,800.0,1200.0,18
2026-04-05,OP-10,Royal Blood,Booster Box,450.0,430.28,380.0,462.0,7
2026-04-05,OP-11,A Fist of Divine Speed,Booster Box,699.99,711.62,650.0,849.0,11
2026-04-05,OP-12,Legacy of the Master,Booster Box,438.44,451.17,399.9,559.95,8
2026-04-05,OP-13,Carrying on His Will,Booster Box,1099.0,1097.42,890.0,1300.0,19
2026-04-05,OP-14,The Azure Sea's Seven,Booster Box,420.0,433.69,330.0,550.0,30
2026-04-05,OP-15,Adventure on Kami's Island,Booster Box,390.0,394.12,340.0,450.0,60
2026-04-05,OP-16,The Time of Battle,Booster Box,364.5,364.5,159.0,570.0,2
2026-04-05,EB-01,Memorial Collection,Booster Box,1399.97,1454.89,1199.99,1949.95,10
2026-04-05,EB-02,Anime 25th Collection,Booster Box,900.0,893.58,719.95,1249.0,17
2026-04-05,EB-03,Heroines Edition,Booster Box,579.99,602.82,480.0,870.0,45
2026-04-05,PRB-01,Card The Best,Booster Box,29.95,569.97,29.95,1650.0,3
2026-04-05,PRB-02,Card The Best Vol.2,Booster Box,549.88,561.07,480.0,650.0,11
2026-04-06,OP-01,Romance Dawn,Booster Box,2895.0,2971.12,2250.0,4000.0,16
2026-04-06,OP-02,Paramount War,Booster Box,1024.99,1057.74,790.0,1500.0,12
2026-04-06,OP-03,Pillars of Strength,Booster Box,1199.99,1199.28,900.0,1449.95,7
2026-04-06,OP-04,Kingdoms of Intrigue,Booster Box,1099.95,1115.38,948.0,1229.95,5
2026-04-06,OP-05,Awakening of the New Era,Booster Box,1650.0,1658.06,1479.0,1888.0,15
2026-04-06,OP-06,Wings of the Captain,Booster Box,625.0,661.11,599.0,799.95,8
2026-04-06,OP-07,500 Years in the Future,Booster Box,595.95,565.71,430.0,699.95,11
2026-04-06,OP-08,Two Legends,Booster Box,420.3,352.36,99.0,550.0,8
2026-04-06,OP-09,Emperors in the New World,Booster Box,974.5,998.26,800.0,1200.0,18
2026-04-06,OP-10,Royal Blood,Booster Box,450.0,430.28,380.0,462.0,7
2026-04-06,OP-11,A Fist of Divine Speed,Booster Box,699.99,702.62,650.0,750.0,11
2026-04-06,OP-12,Legacy of the Master,Booster Box,438.44,451.17,399.9,559.95,8
2026-04-06,OP-13,Carrying on His Will,Booster Box,1099.0,1097.42,890.0,1300.0,19
2026-04-06,OP-14,The Azure Sea's Seven,Booster Box,420.0,433.69,330.0,550.0,30
2026-04-06,OP-15,Adventure on Kami's Island,Booster Box,392.5,396.11,340.0,450.0,58
2026-04-06,OP-16,The Time of Battle,Booster Box,364.5,364.5,159.0,570.0,2
2026-04-06,EB-01,Memorial Collection,Booster Box,1399.97,1454.89,1199.99,1949.95,10
2026-04-06,EB-02,Anime 25th Collection,Booster Box,925.0,904.43,719.95,1249.0,16
2026-04-06,EB-03,Heroines Edition,Booster Box,588.29,605.61,482.0,870.0,44
2026-04-06,PRB-01,Card The Best,Booster Box,29.95,569.97,29.95,1650.0,3
2026-04-06,PRB-02,Card The Best Vol.2,Booster Box,549.88,561.07,480.0,650.0,11
