date,code,name,product,median,avg,low,high,count
2026-04-05,OP-01,Romance Dawn,Booster Box,2675.0,2689.18,2125.0,3100.0,22
2026-04-05,OP-02,Paramount War,Booster Box,800.0,805.52,610.0,1050.0,25
2026-04-05,OP-03,Pillars of Strength,Booster Box,1124.5,1094.79,770.0,1449.95,10
2026-04-05,OP-04,Kingdoms of Intrigue,Booster Box,850.0,849.43,750.0,900.0,9
2026-04-05,OP-05,Awakening of the New Era,Booster Box,1489.0,1469.77,1250.0,1700.0,58
2026-04-05,OP-06,Wings of the Captain,Booster Box,520.0,522.77,400.0,650.0,18
2026-04-05,OP-07,500 Years in the Future,Booster Box,449.99,445.63,359.99,599.99,19
2026-04-05,OP-08,Two Legends,Booster Box,333.59,338.18,270.0,405.0,28
2026-04-05,OP-09,Emperors in the New World,Booster Box,899.0,863.98,690.0,1049.95,49
2026-04-05,OP-10,Royal Blood,Booster Box,350.0,341.66,260.0,420.0,24
2026-04-05,OP-11,A Fist of Divine Speed,Booster Box,676.5,673.53,600.0,750.0,30
2026-04-05,OP-12,Legacy of the Master,Booster Box,357.5,355.7,290.0,410.0,34
2026-04-05,OP-13,Carrying on His Will,Booster Box,900.0,906.66,735.0,1150.0,121
2026-04-05,OP-14,The Azure Sea's Seven,Booster Box,399.99,396.14,349.99,451.0,139
2026-04-05,OP-15,Adventure on Kami's Island,Booster Box,375.0,377.78,350.0,419.99,47
2026-04-05,OP-16,The Time of Battle,Booster Box,290.0,349.99,249.95,570.0,4
2026-04-05,EB-01,Memorial Collection,Booster Box,1199.95,1193.14,776.0,1450.0,13
2026-04-05,EB-02,Anime 25th Collection,Booster Box,720.0,751.16,550.0,1000.0,31
2026-04-05,EB-03,Heroines Edition,Booster Box,599.0,589.65,400.0,850.0,115
2026-04-05,PRB-01,Card The Best,Booster Box,1450.0,1409.89,1250.0,1550.0,10
2026-04-05,PRB-02,Card The Best Vol.2,Booster Box,504.5,501.03,400.0,589.99,26
2026-04-06,OP-01,Romance Dawn,Booster Box,2800.0,2707.03,2125.0,3100.0,23
2026-04-06,OP-02,Paramount War,Booster Box,800.0,790.72,400.0,1050.0,25
2026-04-06,OP-03,Pillars of Strength,Booster Box,1124.5,1094.79,770.0,1449.95,10
2026-04-06,OP-04,Kingdoms of Intrigue,Booster Box,850.0,849.43,750.0,900.0,9
2026-04-06,OP-05,Awakening of the New Era,Booster Box,1489.0,1472.36,1250.0,1700.0,58
2026-04-06,OP-06,Wings of the Captain,Booster Box,520.0,522.77,400.0,650.0,18
2026-04-06,OP-07,500 Years in the Future,Booster Box,445.0,434.35,220.0,599.99,20
2026-04-06,OP-08,Two Legends,Booster Box,333.59,338.18,270.0,405.0,28
2026-04-06,OP-09,Emperors in the New World,Booster Box,899.0,876.53,720.0,999.0,43
2026-04-06,OP-10,Royal Blood,Booster Box,350.0,341.66,260.0,420.0,24
2026-04-06,OP-11,A Fist of Divine Speed,Booster Box,676.5,673.53,600.0,750.0,30
2026-04-06,OP-12,Legacy of the Master,Booster Box,357.5,355.7,290.0,410.0,34
2026-04-06,OP-13,Carrying on His Will,Booster Box,900.0,909.29,735.0,1150.0,119
2026-04-06,OP-14,The Azure Sea's Seven,Booster Box,399.99,395.98,349.99,451.0,138
2026-04-06,OP-15,Adventure on Kami's Island,Booster Box,375.0,376.27,350.0,400.0,48
2026-04-06,OP-16,The Time of Battle,Booster Box,290.0,349.99,249.95,570.0,4
2026-04-06,EB-01,Memorial Collection,Booster Box,1199.95,1193.14,776.0,1450.0,13
2026-04-06,EB-02,Anime 25th Collection,Booster Box,720.0,751.16,550.0,1000.0,31
2026-04-06,EB-03,Heroines Edition,Booster Box,599.0,588.7,400.0,850.0,116
2026-04-06,PRB-01,Card The Best,Booster Box,1450.0,1394.33,1250.0,1499.0,9
2026-04-06,PRB-02,Card The Best Vol.2,Booster Box,509.0,501.92,400.0,589.99,27
