date,code,name,product,median,avg,low,high,count
2026-04-22,NINJA,Ninja Spinner,Mega Greninja ex #114 SR PSA 10,1255.15,1255.15,1252.3,1258.0,2
2026-04-22,NIHIL,Nihil Zero,Clefairy #086 SR PSA 10,359.78,345.6,168.54,494.32,4
2026-04-22,NIHIL,Nihil Zero,Meowth ex #100 SR PSA 10,346.06,346.06,346.06,346.06,1
2026-04-22,NIHIL,Nihil Zero,Rosa's Encouragement #107 SR PSA 10,302.98,302.98,302.98,302.98,1
2026-04-22,NIHIL,Nihil Zero,Mega Starmie ex #111 SR PSA 10,283.75,280.79,218.37,368.13,9
2026-04-22,NIHIL,Nihil Zero,Mega Clefable ex #112 SR PSA 10,229.72,237.74,146.1,332.83,10
2026-04-22,NIHIL,Nihil Zero,Mega Zygarde ex #113 SR PSA 10,376.28,380.82,347.06,445.93,14
2026-04-22,NIHIL,Nihil Zero,Meowth ex #114 SR PSA 10,502.92,477.45,321.45,738.26,13
2026-04-22,NIHIL,Nihil Zero,Rosa's Encouragement #115 SR PSA 10,182.5,182.5,182.5,182.5,1
2026-04-22,NIHIL,Nihil Zero,Jacinthe #116 SR PSA 10,321.13,321.13,321.13,321.13,1
2026-04-22,NIHIL,Nihil Zero,Mega Zygarde ex #117 SR PSA 10,1208.04,1220.56,1097.58,1356.05,3
2026-04-22,INFX,Inferno X,Charcadet #083 SR PSA 10,34.33,34.33,34.33,34.33,1
2026-04-22,INFX,Inferno X,Dewgong #084 SR PSA 10,61.1,61.1,41.0,81.21,2
2026-04-22,INFX,Inferno X,Piplup #085 SR PSA 10,105.0,103.0,94.0,110.0,3
2026-04-22,INFX,Inferno X,Yamper #086 SR PSA 10,76.9,76.9,76.9,76.9,1
2026-04-22,INFX,Inferno X,Flygon #088 SR PSA 10,69.2,69.2,69.2,69.2,1
2026-04-22,INFX,Inferno X,Wigglytuff #091 SR PSA 10,60.5,60.5,41.0,80.0,2
2026-04-22,INFX,Inferno X,Mega Charizard X ex #094 SR PSA 10,208.88,255.73,200.0,461.4,10
2026-04-22,INFX,Inferno X,Dawn #106 SR PSA 10,145.96,142.3,99.0,178.27,4
2026-04-22,INFX,Inferno X,Mega Charizard X ex #110 SR PSA 10,2261.6,2275.07,1100.0,3397.65,12
2026-04-22,INFX,Inferno X,Oricorio ex #111 SR PSA 10,226.5,219.52,128.64,307.61,16
2026-04-22,INFX,Inferno X,Rotom ex #112 SR PSA 10,108.88,108.88,108.88,108.88,1
2026-04-22,INFX,Inferno X,Mega Sharpedo ex #113 SR PSA 10,106.11,93.85,47.12,125.0,5
2026-04-22,INFX,Inferno X,Mega Charizard X ex #116 SR PSA 10,3810.08,3810.08,3496.84,4123.31,2
2026-04-22,MBRAVE,Mega Brave,Bulbasaur #064 SR PSA 10,97.34,96.39,87.65,100.0,10
2026-04-22,MBRAVE,Mega Brave,Ivysaur #065 SR PSA 10,98.8,96.19,61.52,119.44,8
2026-04-22,MBRAVE,Mega Brave,Exeggutor #066 SR PSA 10,64.32,64.32,64.32,64.32,1
2026-04-22,MBRAVE,Mega Brave,Vulpix #067 SR PSA 10,90.18,90.18,85.0,95.36,2
2026-04-22,MBRAVE,Mega Brave,Riolu #068 SR PSA 10,47.17,45.95,36.35,51.0,6
2026-04-22,MBRAVE,Mega Brave,Yungoos #075 SR PSA 10,89.95,89.95,89.95,89.95,1
2026-04-22,MBRAVE,Mega Brave,Mega Venusaur ex #076 SR PSA 10,106.25,107.0,98.0,117.48,4
2026-04-22,MBRAVE,Mega Brave,Mega Lucario ex #078 SR PSA 10,100.0,103.2,76.0,140.0,5
2026-04-22,MBRAVE,Mega Brave,Lillie's Determination #086 SR PSA 10,249.99,249.99,249.99,249.99,1
2026-04-22,MBRAVE,Mega Brave,Mega Venusaur ex #087 SR PSA 10,244.07,237.69,103.47,502.87,9
2026-04-22,MBRAVE,Mega Brave,Mega Lucario ex #088 SR PSA 10,276.85,283.31,183.03,426.79,21
2026-04-22,MBRAVE,Mega Brave,Mega Absol ex #089 SR PSA 10,125.0,130.93,95.08,170.03,5
2026-04-22,MBRAVE,Mega Brave,Lillie's Determination #091 SR PSA 10,775.0,775.0,750.0,800.0,2
2026-04-22,MBRAVE,Mega Brave,Mega Lucario ex #092 SR PSA 10,2055.32,1803.11,1076.06,2165.83,6
2026-04-22,MSYMPH,Mega Symphonia,Inteleon #069 SR PSA 10,55.93,50.8,40.55,55.93,3
2026-04-22,MSYMPH,Mega Symphonia,Helioptile #070 SR PSA 10,64.6,64.6,64.6,64.6,1
2026-04-22,MSYMPH,Mega Symphonia,Alakazam #071 SR PSA 10,60.0,64.08,48.94,90.0,9
2026-04-22,MSYMPH,Mega Symphonia,Shedinja #072 SR PSA 10,85.0,124.2,81.5,206.1,3
2026-04-22,MSYMPH,Mega Symphonia,Stufful #075 SR PSA 10,69.21,69.21,69.21,69.21,1
2026-04-22,MSYMPH,Mega Symphonia,Mega Gardevoir ex #078 SR PSA 10,64.5,64.5,54.0,75.0,2
2026-04-22,MSYMPH,Mega Symphonia,Mega Kangaskhan ex #080 SR PSA 10,215.3,215.3,215.3,215.3,1
2026-04-22,MSYMPH,Mega Symphonia,Acerola's Prank #084 SR PSA 10,146.11,146.11,146.11,146.11,1
2026-04-22,MSYMPH,Mega Symphonia,Mega Gardevoir ex #087 SR PSA 10,279.29,296.71,224.41,458.13,24
2026-04-22,MSYMPH,Mega Symphonia,Mega Latias ex #088 SR PSA 10,127.94,154.5,93.68,251.93,22
2026-04-22,MSYMPH,Mega Symphonia,Mega Kangaskhan ex #089 SR PSA 10,214.99,301.61,147.43,629.05,4
2026-04-22,MSYMPH,Mega Symphonia,Acerola's Prank #090 SR PSA 10,302.63,302.63,249.99,355.27,2
2026-04-22,MSYMPH,Mega Symphonia,Wally's Compassion #091 SR PSA 10,129.99,129.99,129.99,129.99,1
2026-04-22,MSYMPH,Mega Symphonia,Mega Gardevoir ex #092 SR PSA 10,1083.54,1494.1,1044.99,2237.12,7
